Passenger Fare,Age,Gender,NumSiblingSpouse,NumParentChild,Survived,Age Group,Gender_num,Embarkation_Country_num,Ticket Class_1,Ticket Class_2,Ticket Class_3,Embarkation Country_C,Embarkation Country_Q,Embarkation Country_S,Ticket Class,Embarkation Country
18.79,23,female,0,0,1,19-35,0,1,0.0,1.0,0.0,1.0,0.0,0.0,2,C
31.0,36,female,1,0,1,36-50,0,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
12.23,46,male,0,0,0,36-50,1,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
19.5,1,male,1,1,1,0-18,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
18.0,50,male,0,0,0,36-50,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
19.45,15,female,1,0,1,0-18,0,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
11.5,34,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
11.45,43,male,0,0,0,36-50,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
31.0,37,male,0,2,0,36-50,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
83.85,26,female,0,0,1,19-35,0,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
17.48,30,female,0,0,1,19-35,0,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
111.43,50,male,1,0,0,36-50,1,1,1.0,0.0,0.0,1.0,0.0,0.0,1,C
12.93,20,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
84.65,18,female,0,2,1,0-18,0,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
15.5,26,male,0,0,0,19-35,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
13.05,22,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
12.75,21,female,0,0,1,19-35,0,2,0.0,0.0,1.0,0.0,1.0,0.0,3,Q
13.05,31,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
36.28,4,male,4,2,0,0-18,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
12.75,30,male,0,0,1,19-35,1,2,0.0,0.0,1.0,0.0,1.0,0.0,3,Q
